Samples,Coverages,Variants,Read Mean Length,Read Count,Filtered Read Count,Total Base,Filtered Total Base,q20,Filtered q20,q30,Filtered q30,Duplication,R1,R2,Total_fastq_size
SAA11A2,44.2221,4995216,146.52,971570044,964044060,1.44E+11,1.43E+11,1.41E+11,1.40E+11,1.36E+11,1.35E+11,7.53902,34986408047,36649293078,71635701125
SAA11A3,89.9688,4994207,144.46,2013975236,1996217904,2.94E+11,2.91E+11,2.88E+11,2.87E+11,2.79E+11,2.78E+11,10.2357,63326459082,65586398689,1.29E+11
SAA11A4,65.3738,5055052,142.01,1482414240,1467253324,2.14E+11,2.11E+11,2.10E+11,2.08E+11,2.04E+11,2.02E+11,8.64343,46331240471,47755998731,94087239202
SAA11A7,39.1388,4915364,135.26,928689636,920705068,1.28E+11,1.26E+11,1.26E+11,1.25E+11,1.22E+11,1.21E+11,5.34619,30758608273,31854715238,62613323511
SAA11B2,34.954,4957441,145.54,773511922,767563806,1.14E+11,1.13E+11,1.12E+11,1.11E+11,1.07E+11,1.06E+11,5.12063,28384077257,29850468874,58234546131
SAA11B4,69.7959,5047833,146.34,1542739682,1530615490,2.28E+11,2.26E+11,2.23E+11,2.22E+11,2.16E+11,2.14E+11,8.6938,49704469241,51757534286,1.01E+11
SAA11B7,28.5252,4911120,143.37,639655396,633423520,93203701509,92151313723,91161489504,90406619256,87451023612,86816953136,4.75914,29564515474,32277375712,61841891186
SAA11D7,65.7858,4826492,147.48,1460464606,1450579518,2.16E+11,2.14E+11,2.12E+11,2.11E+11,2.06E+11,2.05E+11,8.70445,46554949968,47762709239,94317659207
SAA11E3,34.2527,4917773,144.25,764280656,757587234,1.12E+11,1.11E+11,1.09E+11,1.08E+11,1.05E+11,1.04E+11,4.53797,27882648867,29319380913,57202029780
SAA11E4,43.6227,4929688,145.31,966700602,957607308,1.43E+11,1.41E+11,1.40E+11,1.38E+11,1.34E+11,1.33E+11,6.62188,34956981388,36735718635,71692700023
SAA11E6,36.8188,4964653,145.67,810354838,802998788,1.20E+11,1.19E+11,1.18E+11,1.17E+11,1.14E+11,1.13E+11,5.36452,29159112781,30359186771,59518299552
